,states,latitude,longitude
0,abia,5.532003041,7.486002487
1,adamawa,10.2703408,13.2700321
2,akwa ibom,5.007996056,7.849998524
3,anambra,6.210433572,7.06999711
4,bauchi,11.68040977,10.19001339
5,bayelsa,4.7719,6.0699
6,benue,7.190399596,8.129984089
7,borno,10.62042279,12.18999467
8,cross river,4.960406513,8.330023558
9,delta,5.890427265,5.680004434
10,ebonyi,6.2649,8.0137
11,edo,6.340477314,5.620008096
12,ekiti,7.630372741,5.219980834
13,enugu,6.867,7.3833
14,gombe,10.29044293,11.16995357
15,imo,5.492997053,7.026003588
16,jigawa,11.7991891,9.350334607
17,kaduna,11.0799813,7.710009724
18,kano,11.99997683,8.5200378
19,katsina,11.5203937,7.320007689
20,kebbi,12.45041445,4.199939737
21,kogi,7.800388203,6.739939737
22,kwara,8.490010192,4.549995889
23,lagos,6.443261653,3.391531071
24,nassarawa,8.490423603,8.5200378
25,niger,10.4003587,5.469939737
26,ogun,7.160427265,3.350017455
27,ondo,7.250395934,5.199982054
28,osun,7.629959329,4.179992634
29,oyo,7.970016092,3.590002806
30,plateau,9.929973978,8.890041055
31,rivers,4.810002257,7.010000772
32,sokoto,13.06001548,5.240031289
33,taraba,7.870409769,9.780012572
34,yobe,11.74899608,11.96600457
35,zamfara,12.1704057,6.659996296
36,abuja,8.8941,7.3986
